"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1993,2,8.14206939113284,-0.000892269800479842,0.305437697244134,0.677210407276457,0.00903953973489083,3.84715993487837,-0.344843108157725,1.33362745683099,5.91452692693412,0.252811293910307,0.517120257565083
1994,2,6.59555589564529,0.00322796827608275,0.456153930953699,0.550883555985997,0.00341401974786881,3.27925289428277,1.47222428454549,2.06926868630129,4.89101616843978,0.0953861408784903,0.523178010592891
1995,2,6.39201884171971,0.0046099266780437,0.408262113387491,0.550357837013394,-0.037649670216519,3.30465196904682,2.61765597341033,2.12947534709723,5.41450358496984,-1.12140881580614,0.540678088135633
1996,2,6.12959874271252,0.00465486697446717,0.368538757701622,0.621741980660004,-0.0526939700205119,3.40937217935763,3.23292238500375,2.16972539701072,6.58149000826737,-1.57001066242475,0.5906346285219
1997,2,4.25190884180013,0.00493518263089944,0.306643374144098,0.6907727292524,-0.0718427097518489,2.4733818673097,4.05853061420111,2.0463188154912,7.82401755577897,-2.11710796879956,0.629423631752986
1998,2,1.40657408897421,0.00528703736931581,0.168305807729932,0.752389720718042,-0.107758940066509,0.674059066207984,4.43752826959437,1.12135919809248,9.31754035537663,-2.44329326478744,0.631126778139513
1999,2,0.27409609002945,0.00587222851397052,0.138480919187755,0.782626864837165,-0.104114378745179,0.142298063178611,4.80349156575047,1.00056169434852,10.733270519694,-2.40308650742967,0.653880310605002
2000,2,-2.93367613216844,0.00566545815890978,0.154131824362992,0.848266936007969,-0.121104190623636,-1.5113171540401,4.8219715607987,0.978560790377398,11.701198672677,-2.82350006019072,0.664641584262303
2001,2,-6.05561658817908,0.00505463116482822,0.381935309993719,0.773916174703422,-0.0723469663403477,-2.30336509630774,4.33382161029395,2.35650453627405,10.5115029845812,-1.52997128345036,0.403499849397278
2002,2,-8.22288244534471,0.0047642314547304,0.67729608359091,0.647548902044216,-0.0495253515559437,-3.04678725844662,4.11734941580913,4.25192902560225,9.34800222936387,-1.18338777649827,0.354115137598002
