"year","forecast_horizon","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
1992,1,-1.67822299377556,-0.00155411624165004,0.211308783169678,9.36215901340709,0.780236228088488,4.94961116132842,-0.00634778293978769,-1.66571330674146,-0.625655615567297,1.6725624310333,3.69352903843121,9.31625438254791,2.20744910806964,-0.313770056502124,0.717870179058373
1993,1,-1.80475213115687,-0.000891525965721706,0.167986926926631,11.1686054370725,0.794695612279548,5.35400540924968,0.0040521125082998,-1.75341368802706,-0.510772900884479,1.25210351493137,4.25703091300037,10.0542273705552,2.3797548331783,0.186804650539435,0.685892013975841
1994,1,-1.8287784784489,0.00194241112906318,0.103022857064948,10.4040615149789,0.76911952550942,5.25317136249256,-0.00207651922203944,-1.73190710617877,1.29340074026352,0.810522479567786,3.95081079446464,10.2478754886194,2.23321377766111,-0.0953968674851946,0.668211034818174
1995,1,-0.626733897671382,0.0026681592481395,0.19774046975196,7.97860949559068,0.688278630270385,2.45793574906357,-0.049525954707168,-0.405890484014965,2.0578360318794,1.45743224325759,3.3679530095946,7.10084957238162,0.695308806765614,-1.92501816066337,0.655847534110424
1996,1,-0.440249840224927,0.00285222416520879,0.198842744031001,8.73611347605694,0.698339920682308,2.60444721695327,-0.0526604861285098,-0.284766177263257,2.587015994837,1.55534404343589,3.74347619276043,7.4123819935121,0.74067135745409,-2.07386079061792,0.674928263453575
1997,1,-0.355300191023975,0.00270583176889766,0.182926431964315,7.87742710926859,0.731769943069755,3.04394242904545,-0.0675460301571379,-0.251199102908415,2.88969222531031,1.79143294370776,3.73298654535756,8.70672065752495,0.936666145738534,-2.51141115099256,0.704567541965918
1998,1,-1.06624496099095,0.00303200360747362,0.148632105788928,5.71952659936621,0.774326081574998,3.70193196625104,-0.0676240628452498,-0.777614872840513,3.3974504818577,1.51534346668599,2.91499878736659,9.74595368427303,1.19264840062981,-2.60297662929401,0.745377918109962
1999,1,-2.41942996796069,0.00364428770182255,0.0641586231902599,2.83537818568777,0.793091495773688,5.11831966397261,-0.0995533518347699,-1.62314733461313,3.9051387823117,0.53154722434143,1.02953522331752,10.5765652399708,1.7287722202628,-2.50323144676516,0.738821500124708
2000,1,-0.703724372332854,0.00446544972803493,0.105151920561548,4.16129317784409,0.723608812987346,0.590723503635695,-0.114140901482428,-0.275271665849845,4.67622491912803,0.960633330770778,1.29802114514875,7.42566745166313,0.106671573860894,-3.10660846810545,0.731061228055963
2001,1,-2.20845137559918,0.00446382281016044,0.176371653064094,2.4960913580256,0.766325367042416,0.689127768379394,-0.0836820982185,-0.840643855648103,4.79666483389808,1.55433558229134,0.732300827861966,8.5542855879996,0.122230684853652,-2.72032531465583,0.73619794899392
2002,1,-4.45264252148598,0.00254510909056841,0.280216163075898,8.91481356380779,0.752501605676185,-3.91804081184086,-0.0439348320457694,-1.60225477324555,2.49778370504577,2.26577400208041,2.00207264135694,8.87354971877576,-0.711672871774089,-1.21214842897802,0.455770707985975
2003,1,4.11180268525734,0.00300756430607269,0.64302013738622,4.61592815064236,0.515059721115054,-23.9586085542113,-0.0832708304198424,0.97794599850714,2.29215609344707,3.70099011345757,0.860927676048854,4.67788938318146,-2.49954475050014,-2.23814290126638,0.404474458586986
2004,1,8.61809256518831,0.00377821153079496,0.781668574601936,0.82896462367914,0.424963775201628,-31.9037090680829,-0.107831023378007,2.4261005936473,3.66805672275773,5.0405222109387,0.149042491923478,5.24892660550388,-3.94447488887259,-3.22352068323485,0.425559658823425
2005,1,11.1295537606546,0.00342921559918401,0.84447213380451,-2.43734435207646,0.435966486761437,-34.8675475542866,-0.108278292163062,2.90720100685387,3.81008300160935,5.61252091036692,-0.418309818873875,5.5897191138915,-4.09664637077673,-3.54738403242962,0.461552168327013
2006,1,12.8017129133941,0.00308602706296542,0.915471588452531,-4.32083726287055,0.46857739105529,-33.8767240964405,-0.0838126086465809,2.64896150770795,3.7928753087565,5.85031218834244,-0.689240302008256,5.34504873664594,-3.21982721311564,-3.3753952517887,0.51413396737283
2007,1,11.8254373910528,0.00439341015590631,0.590445427385526,11.1414501780434,0.51813901848613,-31.1709242444623,-0.0778630750049263,2.0052389018352,4.25467218340293,2.37692183167502,1.15682631867112,5.20792363676349,-2.47478517060018,-2.77771217660015,0.53257213602174
2008,1,14.1977477165611,0.00256402766085532,0.577272834579307,9.4713949806115,0.560393127688678,-32.2758331715427,-0.0798507933788458,2.14528750236769,2.14984519135089,2.48776133477329,0.902625201788869,5.84928847852203,-2.37430279171481,-3.01336899600307,0.509055043994393
2009,1,19.6742672771725,-0.00262795868097916,0.597075085003583,26.6987308621017,0.614311328319185,-36.5783296324465,-0.0420916818997966,2.00035191774236,-1.22450402726383,2.58823631545741,2.05374626427897,5.83842635219688,-2.11655633331969,-0.827422052281245,0.337335442004827
2010,1,26.5415012210291,-0.00130538623775818,0.659347457489146,20.4607484920073,0.51695155288724,-48.1912585126635,-0.0571097528440384,2.33656378968981,-0.864952696656777,2.82875347416496,1.62415874211176,5.05356976866609,-2.17954862094466,-1.47536591673553,0.342952790545611
2011,1,28.5000463309359,-0.00108867905448467,0.677978041181951,22.7763458232314,0.515740138489452,-38.9652035595355,-0.0545905814248329,2.3862156316984,-0.840528044282312,3.10949085727067,1.73070932831933,5.2099603962875,-1.65848689195258,-1.68654774346463,0.35615639951427
2012,1,32.5735731074429,-0.00059103990502062,0.619370159661762,19.695430053067,0.55387171009733,-28.7596792577002,-0.0643016767267658,2.55992813600237,-0.534597261509131,3.09516753445448,1.53092540206332,5.6263205796601,-1.18414056926731,-2.08412211228867,0.409264317073836
2013,1,25.7720197289963,-0.00062388815389129,0.555390027297757,19.6382616480032,0.604259960654687,-13.1469979050975,-0.0704804531697972,1.89413574387315,-0.649701561951395,2.89320780460925,1.60446579577786,5.83486104831662,-0.513295741181366,-2.38554682826746,0.455951965138349
2014,1,21.2534952189099,-0.000401561165644334,0.508390153928148,17.7361048460539,0.642812367035517,-9.01615359784524,-0.0699251616233118,1.50805746331108,-0.463366473999942,2.72598619499111,1.48909115318849,6.23162826733116,-0.342907361166002,-2.43792179324854,0.497393165355979
2015,1,20.6274621753604,-0.000488623300836126,0.49756382204509,14.7797100372313,0.651886737821526,-5.84223381992707,-0.0678992091608815,1.41774430725067,-0.609901200520787,2.6903615167276,1.22610339818154,6.38873647808244,-0.216729181514967,-2.52844931100909,0.524808542654642
2016,1,18.6272351975978,-0.00039469009446975,0.430771837810088,6.93043425407993,0.660670386949694,-7.97969868910534,-0.0758237762221084,1.21690653559926,-0.509482775134235,2.46068968039402,0.561276973270594,6.6350773637338,-0.288455160356995,-2.69797973763123,0.524113511228143
2017,1,18.7791054827737,-0.000764078874505974,0.437923316152273,-3.10964626563695,0.660509981801628,-8.98817004419137,-0.090076893501295,1.16304310857365,-1.0284178751466,2.48040955547158,-0.235689068246891,6.93639227901587,-0.31281704467047,-3.0567396294748,0.545851202237912
2018,1,19.9059731173667,-0.000712918058380341,0.470686800370504,-4.18175757459108,0.659250118372729,-6.73851376714466,-0.0945273245881095,1.18699598411238,-0.952125142752445,2.75539447484759,-0.299578699103787,7.09452496513293,-0.227974597470943,-2.94617113649566,0.563356799934166
2019,1,27.54373240181,0.00132526985131698,0.575533575073077,-14.3342423109182,0.628442077923954,-7.67087890785889,-0.0641072601427121,1.67439781409406,2.82067267284945,3.62864423318482,-1.05668032844301,6.97695234687693,-0.26474264829551,-2.59080656518556,0.707855433407496
