"year","forecast_horizon","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1973,2,-0.0688061733293443,1.02787511158044,0.561969654613637,-0.61073177690928,-0.40751682729563,9.73235214836338,2.6959873704805,-5.88206446698961,0.143974384563961
1974,2,-0.138144832163084,1.10370883803147,0.750874312630112,-0.553031007918311,-0.76828585567135,9.58696583221395,3.33101993865573,-5.57797047457106,0.128580774927486
1975,2,-0.160104288914646,1.10287983089256,0.7011053865686,-0.573222580927363,-0.954250643114101,10.1694274269818,3.2679427941407,-6.17910468335082,0.132950928011055
1976,2,-0.0964664871554408,1.05699004419835,0.667446481215946,-0.541954364826533,-0.55790535746028,9.57891168595179,2.94918018649161,-5.42222058101354,0.136390185570536
1977,2,-0.00485814277552449,1.02950642768066,0.573029758417283,-0.552537212054325,-0.0329356955425266,10.6972876738708,2.97946446652501,-6.51822305987456,0.134164002391948
1978,2,0.0104398843336968,1.04831040500145,0.53819042618391,-0.591621350404737,0.0753532251295456,11.5681172050615,3.00995520554478,-7.20108049724584,0.141289210736002
1979,2,0.00650524723897685,1.07333719869781,0.55062983142668,-0.602132523547121,0.0514250428545899,13.0117289114476,3.32232532760873,-7.82654775779901,0.148717624118718
1980,2,0.014467613564518,1.07215687131142,0.542713051758078,-0.574762423980559,0.12248312744487,14.1134526951011,3.51715944422671,-8.07850614952276,0.152855912476084
1981,2,0.0346472856958942,1.04152036740149,0.482273324463532,-0.545719699325354,0.289668420184455,13.992799359107,3.1537263953909,-8.12472693330797,0.154062309806412
1982,2,0.070011855743804,0.977852862782073,0.334007516941447,-0.491661083882268,0.702137227441506,15.8223647985012,2.60154779332529,-7.52611276937253,0.160215195678982
1983,2,0.0998522878410283,0.918963215700457,0.229471818696791,-0.459201853496668,1.14545946369388,17.2339074065403,2.03972859620966,-7.30078636091952,0.172307700814892
1984,2,0.127214134789014,0.879859499762672,0.204280043228631,-0.397917633566177,1.74146180890388,19.6321659263778,2.10218015130387,-7.11669334743554,0.193946614098166
1985,2,0.0853457718711382,0.879602171547617,0.192353286512346,-0.376871577739365,1.24215109672017,20.6644963989812,2.11944453422743,-6.4177028868194,0.205210605670884
1986,2,0.00653198090868762,0.881889132496208,0.194835043954211,-0.373629818124302,0.0982921779256157,21.2068416598295,2.25484059803812,-6.50008951098925,0.21493239283015
1987,2,-0.0838216380676103,0.892553133896253,0.245289168064321,-0.404012184758273,-1.1582004622281,19.61890068674,2.66921901000815,-7.6924558636362,0.213101239402716
1988,2,-0.149516331810879,0.907306610963737,0.308423378158652,-0.393242078987947,-1.81192315296073,17.1702860897289,2.89581294675519,-5.45355210213385,0.20058553068715
1989,2,-0.209050559093006,0.907310233092009,0.384120606864113,-0.35019053778792,-2.04063849392733,13.4834664963285,2.96051815500032,-3.91300003710182,0.168861445296089
1990,2,-0.25350331176692,0.899522573741179,0.432461021575029,-0.314773798130232,-2.16241794784607,11.3789902046275,2.91818726737986,-3.31657916496187,0.151180831567846
1991,2,-0.277389545476439,0.895240290177744,0.451632468316785,-0.285265423661133,-2.20325826813341,9.99833733307677,2.84131724951564,-3.05838924770197,0.131673492945555
1992,2,-0.298038401175998,0.921942844937509,0.468577577017439,-0.326400569032,-2.21448289820485,9.14376392247106,2.76766701587728,-3.41882128056498,0.116247863118815
1993,2,-0.402477380906671,1.02635748580911,0.58705188114228,-0.429925092841611,-2.31196201294737,7.45716151877158,2.69142404724098,-3.85501119874924,0.0913131581600233
1994,2,-0.441170196998906,1.06946851910327,0.624070767584293,-0.474249588667644,-2.39868536565839,7.06644331472256,2.71655191850011,-3.88486495252641,0.0845972344932868
1995,2,-0.452014318362338,1.11893047989518,0.711168816399119,-0.477716591333637,-2.24899262255414,6.53584813129698,2.68704295627208,-4.10738526018521,0.074216388940612
1996,2,-0.764667189763747,1.43951262091578,1.16727171644403,-0.636848532769898,-1.94275611725031,4.1855436938706,2.21713382234757,-3.2059916544183,0.0348042747524918
1997,2,-0.950371580152225,1.62710847673234,1.40096550268563,-0.71244422160126,-2.10866853291087,4.06739452202969,2.31172970848842,-3.15149969544932,0.0310718329943277
1998,2,-1.22935906625354,1.85146713934972,1.7424640937104,-0.813315069631184,-2.24316422558617,3.80367689191642,2.36426185807414,-3.03192854339121,0.0266686392293666
1999,2,-1.21515735688705,1.86394359724122,1.71463309569096,-0.839561261429949,-2.25215623151335,3.83737067769419,2.34499414086062,-3.12495445490589,0.0247551050406402
2000,2,-1.50958869984292,2.16491510050209,2.12069285499225,-1.01249522321259,-2.33893513012539,3.66779400546583,2.38434668957048,-3.11174142685219,0.0228441182302882
2001,2,-1.59983870397669,2.25022944642713,2.23897218722787,-1.06187258402586,-2.43135613911344,3.71000761047572,2.44373431491879,-3.16177426748218,0.0216581570120329
2002,2,-1.77345677994852,2.43842889250045,2.74604037473134,-0.928070327652275,-2.38871347109317,3.52075323473382,2.46910754667767,-2.50421279559531,0.0175372769407359
2003,2,-2.33169206713315,2.99352181938106,3.61459105817711,-1.21800999537235,-2.20282185335737,3.01250840026933,2.24125251449955,-2.51380383471871,0.0118025256001786
2004,2,-2.98237483361055,3.5969992134108,4.64958978417666,-1.47518035016666,-2.33948600839667,3.03449515704268,2.39361291804703,-2.55694557294508,0.0116217344665704
2005,2,-3.98260168470919,4.47716406204958,6.0735649175972,-1.88523287834285,-2.46543225196081,3.03575873692521,2.5136499844338,-2.45199207338827,0.0125578689742403
2006,2,-5.06599428243183,5.4313087320749,7.71020733331581,-2.26179355084972,-2.42739419700408,2.88658259096501,2.47016845526594,-2.35628503795526,0.0113711195079481
2007,2,-6.62151840967478,6.72588649109698,10.7738476253413,-2.15193389025616,-2.4348055730419,2.80162749952751,2.49657992381391,-2.12469803678177,0.0118305152897852
2008,2,-8.46328417198447,7.89402003028143,13.4423117701755,-2.53600126955164,-2.56758010820098,2.86510199728013,2.60839637207017,-2.16473999641345,0.0164957521495654
2009,2,-8.44892213039205,7.62051983053914,13.3109206461476,-2.51484083103702,-2.57075180874153,2.85615708633119,2.60233739168255,-2.23328016962125,0.0163295923750867
2010,2,-7.55857535499465,6.88816434809562,12.2188941388601,-2.49396807961708,-2.4476501788113,2.76714795201555,2.50564191247172,-2.34288725010834,0.0143240713517797
2011,2,-7.08419264368768,6.52047338426404,11.8189828097525,-2.33796397593509,-2.3998039529951,2.76981516284861,2.49027551642666,-2.40942047066902,0.0139264429455034
2012,2,-6.94683642245605,6.26668998024876,11.2210828705823,-2.39040274129366,-2.30770871060097,2.68667122696066,2.39703550786508,-2.34382608644603,0.0137550792821063
2013,2,-6.28840522990023,5.54313849079062,10.0612690090461,-1.975019884516,-2.14671654404878,2.53939846429835,2.23429310793265,-2.17745949443602,0.0124918479942507
2014,2,-5.54211116012938,4.81054964520384,8.6659999552386,-1.73857104797231,-1.97894228446416,2.40132699688363,2.0555500768138,-2.0913801538479,0.0114304890602003
2015,2,-4.95558192453078,4.15070823585105,7.53831680994501,-1.54411816268569,-1.76364504385838,2.18259623703819,1.81508584748821,-1.94557100800971,0.0111575063637689
2016,2,-3.48780525812928,3.02487802307703,5.21977273255616,-1.14930982579496,-1.48210881677197,1.99054466734159,1.5190936781709,-1.81620045351014,0.0101523961738985
2017,2,-1.75931579608457,1.83533962413785,2.52374842321871,-0.8307757776444,-1.15136145685445,2.05471090336132,1.19665700823101,-1.97109802035808,0.0285007228622239
2018,2,-0.16918384697156,0.996636570893877,0.406724518501026,-0.450373807908456,-1.34162354842146,13.0072236263416,2.32201940809598,-6.20272048216808,0.189706002949963
2019,2,-0.22231625682631,1.09158829092826,0.480612097280007,-0.496486383763567,-1.66100081253537,13.7645720997726,2.61431404950444,-6.21954843215524,0.202773811372995
2020,2,-0.323925123282591,1.10249418538582,0.386467393151088,-0.531462497570458,-2.51656074184732,15.0437876693087,2.05055286832444,-4.35676640573008,0.182358965589957
2021,2,-0.545173978986262,1.24339136990298,0.634813893781911,-0.612482140272928,-2.60742194405792,11.7207930099688,2.21091997220368,-4.29236685967817,0.201203920375398
2022,2,-0.398427972281168,1.20901515688861,0.487656014145905,-0.55558174452071,-1.73167177181676,10.7035272116139,1.48890692183861,-5.24545203176461,0.178474733907499
2023,2,-0.403356505450055,1.20143675203412,0.453365522148716,-0.555494697025758,-1.5256882944762,9.6671582173015,1.21188097162618,-5.10390394773972,0.184573229722462
1968,3,0.266752754142875,0.843080038584742,0.253793897884975,-0.698237034167927,1.60338251702727,9.4215929335701,1.19961810498006,-6.64405553726484,0.305182463603198
1969,3,0.144016844739452,0.854261954228673,0.261408171116048,-0.712166258447161,0.863458092728465,9.34838665142781,1.25405966276553,-7.36452725038459,0.269166112447297
1970,3,-0.020821113019607,0.914178562745055,0.414301971242265,-0.719464086892495,-0.101254794638294,7.94584661086482,1.65572435041913,-7.34615211694023,0.210232617992927
1971,3,0.0276710065896057,0.901397977024182,0.367005212970481,-0.729192935175757,0.175518489553656,9.58766525839995,1.87544195029011,-9.52488198416586,0.141230578347782
1972,3,-0.0481303250326954,0.985076036315586,0.601899845700759,-0.729038151669258,-0.23730145313896,8.04087524999365,2.40419680321609,-6.52423590211127,0.115699819364239
1973,3,-0.0728278516046756,1.05206717602962,0.731389917176688,-0.751303987335487,-0.339591506567216,7.86272822984926,2.78181339370264,-6.73372866576072,0.0979642013739489
1974,3,-0.0841039011086519,1.07530299804158,0.749154016598297,-0.665949222082745,-0.442773601870305,8.85709471811408,3.12305107274887,-6.42342403900654,0.106392101567026
