"year","forecast_horizon","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
2016,1,-1.5344542274122,3.53545777327649,-1.33668820286956,2.01855652373326,0.0141489324500633
2017,1,-0.99061409846407,2.66053098618435,-1.08692012963303,1.84020735635517,0.0137527273785178
2018,1,-0.0655705547376701,1.28696818692573,-0.220292252997186,2.60818165059014,0.0248959649335924
2019,1,0.303995567437798,0.829728019431916,9.35489793514842,18.4894752755633,0.199508989939098
2020,1,0.245319359857651,0.899699272880483,6.28372908373524,19.3383398006163,0.201261484727126
2021,1,0.0808737595212774,0.97443779352035,1.69823973510767,18.1407031622758,0.220178879274173
2022,1,0.194034922810739,1.00980867853095,4.06090058950305,17.1018358714913,0.214032125156125
2023,1,0.115102806905412,1.03210968183262,1.85015301790494,13.9825986725378,0.211707693491356
1968,2,0.403928956735231,0.822836915607027,3.80629267051766,13.4554058026572,0.395582518728616
1969,2,0.31096313138298,0.843915101873264,3.00653534292109,13.7865040311335,0.370552591101378
1970,2,0.201789789668449,0.86094979428486,1.90794715027675,13.4006921054167,0.33216120029269
1971,2,0.196076407311354,0.846863845649939,2.41616885315785,15.7415488004552,0.227119196393631
1972,2,0.210906026055998,0.865706325058544,2.00172116928279,11.9475498093941,0.173491554876048
1973,2,0.207018912356884,0.90866659187839,1.79698189512665,10.9198842495337,0.13529466884447
1974,2,0.15604084486584,0.97542736906361,1.26922982671721,10.7169117406875,0.121021363112273
1975,2,0.160893446842884,0.958180835047561,1.42951912071781,11.3136086277665,0.122933206725327
1976,2,0.226826193118924,0.914536853937898,2.02785701191285,10.7766452032402,0.125955080172949
1977,2,0.326234086085244,0.882253662270853,3.61716459912227,12.2193413595212,0.123421899417169
1978,2,0.357800897459042,0.894004027276301,4.31198545107752,13.2482541212789,0.12946467798859
1979,2,0.357595378747959,0.92213972606866,4.69942351048227,14.8461284409522,0.136870446154709
1980,2,0.348065131252372,0.93383645244179,4.83989361371557,16.1078939536532,0.142247709903896
1981,2,0.33697607766821,0.922109374722754,4.55228792658182,15.9945255982726,0.144987955839634
1982,2,0.319028414014678,0.881057842664108,5.13824601018665,18.2299570942863,0.152697861552415
1983,2,0.31852981803123,0.834905549981569,5.94256575326156,20.0534389097139,0.165025867726466
1984,2,0.342018478965174,0.797264431826355,8.03275893458271,23.2493331706551,0.185832724848285
1985,2,0.295030796673035,0.799429883794902,7.65641888777796,24.8550515074346,0.197907664358683
1986,2,0.223142069726909,0.798128147236751,6.13353210960538,25.6443659106044,0.207143923956501
1987,2,0.176309865536224,0.790305559138817,4.70139748459136,23.6701006455687,0.202358363272118
1988,2,0.143303550555205,0.790080893207285,3.62587555111712,21.0015786668194,0.189288803256538
1989,2,0.0985103609079859,0.78398484779394,2.2290767590655,16.9387926789027,0.15979192888984
1990,2,0.0626030139306187,0.77232284553915,1.33233311006752,14.4544525639255,0.143080541133591
